SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
ostric2,Common Ostrich,Common Ostrich
ostric3,Somali Ostrich,Somali Ostrich
y00934,Common/Somali Ostrich,Common/Somali Ostrich
soucas1,Southern Cassowary,Southern Cassowary
dwacas1,Dwarf Cassowary,Dwarf Cassowary
norcas1,Northern Cassowary,Northern Cassowary
emu1,Emu,Emu
sobkiw1,Southern Brown Kiwi,Southern Brown Kiwi
sobkiw2,Southern Brown Kiwi (South I.),Southern Brown Kiwi (South I.)
sobkiw3,Southern Brown Kiwi (Stewart I.),Southern Brown Kiwi (Stewart I.)
okbkiw1,Okarito Kiwi,Okarito Brown Kiwi
nibkiw1,North Island Brown Kiwi,North Island Brown Kiwi
x01217,Southern Brown x North Island Brown Kiwi (hybrid),Southern Brown x North Island Brown Kiwi (hybrid)
liskiw1,Little Spotted Kiwi,Little Spotted Kiwi
x01059,Okarito Brown x Little Spotted Kiwi (hybrid),Okarito Brown x Little Spotted Kiwi (hybrid)
grskiw1,Great Spotted Kiwi,Great Spotted Kiwi
kiwi1,kiwi sp.,kiwi sp.
grerhe1,Greater Rhea,Greater Rhea
lesrhe2,Lesser Rhea,Lesser Rhea
lesrhe4,Lesser Rhea (Puna),Lesser Rhea (Puna)
lesrhe3,Lesser Rhea (Darwin's),Lesser Rhea (Darwin's)
puntin1,Puna Tinamou,Puna Tinamou
pattin1,Patagonian Tinamou,Patagonian Tinamou
quctin1,Quebracho Crested Tinamou,Quebracho Crested-Tinamou
elctin1,Elegant Crested Tinamou,Elegant Crested-Tinamou
elecrt11,Elegant Crested Tinamou (Northern),Elegant Crested-Tinamou (Northern)
elecrt12,Elegant Crested Tinamou (Southern),Elegant Crested-Tinamou (Southern)
dwatin1,Dwarf Tinamou,Dwarf Tinamou
whbnot1,White-bellied Nothura,White-bellied Nothura
lesnot1,Lesser Nothura,Lesser Nothura
darnot1,Darwin's Nothura,Darwin's Nothura
sponot1,Spotted Nothura,Spotted Nothura
y01225,White-bellied/Spotted Nothura,White-bellied/Spotted Nothura
y01226,Lesser/Spotted Nothura,Lesser/Spotted Nothura
y01375,Darwin's/Spotted Nothura,Darwin's/Spotted Nothura
huatin1,Huayco Tinamou,Huayco Tinamou
rewtin1,Red-winged Tinamou,Red-winged Tinamou
brutin1,Brushland Tinamou,Brushland Tinamou
andtin1,Andean Tinamou,Andean Tinamou
andtin10,Andean Tinamou (Northern),Andean Tinamou (Northern)
andtin11,Andean Tinamou (Southern),Andean Tinamou (Southern)
cubtin1,Curve-billed Tinamou,Curve-billed Tinamou
orntin1,Ornate Tinamou,Ornate Tinamou
tactin1,Taczanowski's Tinamou,Taczanowski's Tinamou
chitin1,Chilean Tinamou,Chilean Tinamou
nothop1,Nothoprocta sp.,Nothoprocta sp.
tabtin1,Tawny-breasted Tinamou,Tawny-breasted Tinamou
hootin1,Hooded Tinamou,Hooded Tinamou
higtin1,Highland Tinamou,Highland Tinamou
higtin3,Highland Tinamou (Costa Rican),Highland Tinamou (Costa Rican)
higtin2,Highland Tinamou (South American),Highland Tinamou (South American)
gretin1,Great Tinamou,Great Tinamou
soltin1,Solitary Tinamou,Solitary Tinamou
grytin1,Grey Tinamou,Gray Tinamou
whttin1,White-throated Tinamou,White-throated Tinamou
blatin1,Black Tinamou,Black Tinamou
blktin1,Black Tinamou (Colombian),Black Tinamou (Colombian)
blktin2,Black Tinamou (Peruvian),Black Tinamou (Peruvian)
tinamu1,Tinamus sp.,Tinamus sp.
bertin1,Berlepsch's Tinamou,Berlepsch's Tinamou
cintin1,Cinereous Tinamou,Cinereous Tinamou
teptin1,Tepui Tinamou,Tepui Tinamou
smbtin1,Small-billed Tinamou,Small-billed Tinamou
tattin1,Tataupa Tinamou,Tataupa Tinamou
brotin1,Brown Tinamou,Brown Tinamou
brntin11,Brown Tinamou (Venezuelan),Brown Tinamou (Venezuelan)
brntin1,Brown Tinamou (Ecuadorian),Brown Tinamou (Ecuadorian)
brntin2,Brown Tinamou (Andean),Brown Tinamou (Andean)
brntin8,Brown Tinamou (Amazonian),Brown Tinamou (Amazonian)
brntin10,Brown Tinamou (Atlantic),Brown Tinamou (Atlantic)
vartin1,Variegated Tinamou,Variegated Tinamou
bartin2,Bartlett's Tinamou,Bartlett's Tinamou
bartin1,Barred Tinamou,Barred Tinamou
rustin1,Rusty Tinamou,Rusty Tinamou
littin1,Little Tinamou,Little Tinamou
undtin1,Undulated Tinamou,Undulated Tinamou
yeltin1,Yellow-legged Tinamou,Yellow-legged Tinamou
yeltin2,Yellow-legged Tinamou (zabele),Yellow-legged Tinamou (zabele)
